,strike_price,option_type,entry_time,entry_price,exit_time,exit_price,exit_reason,expiry_date,m2m,trade_date,gross_pnl,expenses,interest,net_pnl
,14100,PE,2021-01-04 09:30:00,84.1,2021-01-04 11:01:00,158.8,Max SL,2021-01-07,-5602.5,2021-01-04,-5602.5,20.585775,32.87,-5655.955775
,13950,PE,2021-01-04 11:05:00,98.8,2021-01-04 12:10:00,54.55,Signal Change,2021-01-07,3318.75,2021-01-04,3318.75,12.9964125,0,3305.7535875
,14050,CE,2021-01-04 12:10:00,98.55,2021-01-04 15:15:00,131,EOD,2021-01-07,-2433.75,2021-01-04,-2433.75,19.4543625,0,-2453.2043625
,14100,PE,2021-01-05 09:50:00,90.9,2021-01-05 15:15:00,45.45,EOD,2021-01-07,3408.75,2021-01-05,3408.75,11.5556625,32.87,3364.3243375
,14200,PE,2021-01-06 09:30:00,74.15,2021-01-06 09:35:00,82,Signal Change,2021-01-07,-588.75,2021-01-06,-588.75,13.2337125,32.87,-634.8537125
,14200,CE,2021-01-06 09:35:00,62.85,2021-01-06 09:40:00,66.25,Signal Change,2021-01-07,-255,2021-01-06,-255,10.941225,0,-265.941225
,14200,PE,2021-01-06 09:40:00,77.1,2021-01-06 09:45:00,75.1,Signal Change,2021-01-07,150,2021-01-06,150,12.89895,0,137.10105
,14200,CE,2021-01-06 09:45:00,67,2021-01-06 14:30:00,34.45,Signal Change,2021-01-07,2441.25,2021-01-06,2441.25,8.5978875,0,2432.6521125
,14100,PE,2021-01-06 14:30:00,60.05,2021-01-06 15:15:00,34.05,EOD,2021-01-07,1950,2021-01-06,1950,7.974975,0,1942.025025
,14200,CE,2021-01-07 09:30:00,50,2021-01-07 09:35:00,47.35,Signal Change,2021-01-07,198.75,2021-01-07,198.75,8.2504125,32.87,157.6295875
,14200,PE,2021-01-07 09:35:00,29.55,2021-01-07 15:15:00,59.5,EOD,2021-01-07,-2246.25,2021-01-07,-2246.25,7.5469875,0,-2253.7969875
,14450,PE,2021-01-11 09:30:00,112.6,2021-01-11 15:15:00,93.4,EOD,2021-01-14,1440,2021-01-11,1440,17.4585,32.87,1389.6715
,14550,PE,2021-01-12 12:40:00,94.25,2021-01-12 15:15:00,69.4,EOD,2021-01-14,1863.75,2021-01-12,1863.75,13.8693375,32.87,1817.0106625
,14650,CE,2021-01-13 09:30:00,48.3,2021-01-13 14:15:00,13.05,Signal Change,2021-01-14,2643.75,2021-01-13,2643.75,5.1994125,32.87,2605.6805875
,14500,PE,2021-01-13 14:15:00,56.1,2021-01-13 15:00:00,25.3,Signal Change,2021-01-14,2310,2021-01-13,2310,6.89865,0,2303.10135
,14550,CE,2021-01-13 15:00:00,67.5,2021-01-13 15:05:00,73.7,Signal Change,2021-01-14,-465,2021-01-13,-465,11.9667,0,-476.9667
,14550,PE,2021-01-13 15:05:00,33.1,2021-01-13 15:15:00,33.2,EOD,2021-01-14,-7.50000000000011,2021-01-13,-7.50000000000011,5.618925,0,-13.1189250000001
,14500,PE,2021-01-14 09:50:00,57.65,2021-01-14 15:15:00,0.1,EOD,2021-01-14,4316.25,2021-01-14,4316.25,4.8943125,32.87,4278.4856875
,14500,CE,2021-01-15 10:40:00,146.5,2021-01-15 15:15:00,117.25,EOD,2021-01-21,2193.75,2021-01-15,2193.75,22.3528125,32.87,2138.5271875
,14350,CE,2021-01-18 09:30:00,161.75,2021-01-18 12:05:00,109.95,Signal Change,2021-01-21,3885,2021-01-18,3885,23.026575,32.87,3829.103425
,14300,PE,2021-01-18 12:05:00,143.85,2021-01-18 14:51:00,115.25,Trailing SL,2021-01-21,2145,2021-01-18,2145,21.958725,0,2123.041275
,14450,PE,2021-01-19 12:00:00,79.55,2021-01-19 15:15:00,38.15,EOD,2021-01-21,3105,2021-01-19,3105,9.975075,32.87,3062.154925
,14600,PE,2021-01-20 09:30:00,88.5,2021-01-20 15:15:00,28.05,EOD,2021-01-21,4533.75,2021-01-20,4533.75,9.8776125,32.87,4491.0023875
,14750,PE,2021-01-21 09:30:00,43.45,2021-01-21 10:45:00,42.3,Signal Change,2021-01-21,86.2500000000004,2021-01-21,86.2500000000004,7.2673125,32.87,46.1126875000004
,14750,CE,2021-01-21 10:45:00,14.65,2021-01-21 15:15:00,0.15,EOD,2021-01-21,1087.5,2021-01-21,1087.5,1.2543,0,1086.2457
,14550,CE,2021-01-22 09:30:00,138,2021-01-22 15:15:00,65.8,EOD,2021-01-28,5415,2021-01-22,5415,17.27205,32.87,5364.85795
,14250,CE,2021-01-25 14:30:00,125.1,2021-01-25 15:15:00,100,EOD,2021-01-28,1882.5,2021-01-25,1882.5,19.077225,32.87,1830.552775
,14150,CE,2021-01-27 09:30:00,110.75,2021-01-27 13:45:00,29.9,Target Hit,2021-01-28,6063.75,2021-01-27,6063.75,11.9200875,32.87,6018.9599125
,14050,CE,2021-01-27 13:50:00,73.1,2021-01-27 15:15:00,33.95,EOD,2021-01-28,2936.25,2021-01-27,2936.25,9.0724875,0,2927.1775125
,13850,CE,2021-01-28 09:30:00,48.3,2021-01-28 13:10:00,7.95,Signal Change,2021-01-28,3026.25,2021-01-28,3026.25,4.7671875,32.87,2988.6128125
,13750,PE,2021-01-28 13:10:00,46.5,2021-01-28 13:15:00,54,Signal Change,2021-01-28,-562.5,2021-01-28,-562.5,8.517375,0,-571.017375
,13750,CE,2021-01-28 13:15:00,33.45,2021-01-28 13:27:00,76.35,Max SL,2021-01-28,-3217.5,2021-01-28,-3217.5,9.30555,0,-3226.80555
,13850,CE,2021-01-28 13:30:00,25.4,2021-01-28 15:15:00,0.4,EOD,2021-01-28,1875,2021-01-28,1875,2.18655,0,1872.81345
,13650,PE,2021-01-29 15:15:00,214.05,2021-02-01 11:21:00,128.65,Target Hit,2021-02-04,6405,2021-02-01,6405,29.043825,32.87,6343.086175
,13850,PE,2021-02-01 11:45:00,193.55,2021-02-01 12:53:00,106.2,Target Hit,2021-02-04,6551.25,2021-02-01,6551.25,25.4038125,0,6525.8461875
,14100,PE,2021-02-01 13:05:00,165.6,2021-02-01 13:14:00,211.35,Max SL,2021-02-04,-3431.25,2021-02-01,-3431.25,31.9465125,0,-3463.1965125
,14050,PE,2021-02-01 13:15:00,178.35,2021-02-01 13:41:00,95,Target Hit,2021-02-04,6251.25,2021-02-01,6251.25,23.1664125,0,6228.0835875
,14200,PE,2021-02-01 13:45:00,145.95,2021-02-01 15:15:00,94.1,EOD,2021-02-04,3888.75,2021-02-01,3888.75,20.3442375,0,3868.4057625
,14650,PE,2021-02-02 09:30:00,130.45,2021-02-02 10:20:00,128.45,Trailing SL,2021-02-04,150,2021-02-02,150,21.941775,32.87,95.188225
,14600,PE,2021-02-02 10:25:00,108.5,2021-02-02 10:42:00,150.6,Max SL,2021-02-04,-3157.5,2021-02-02,-3157.5,21.958725,0,-3179.458725
,14500,PE,2021-02-02 10:45:00,106.05,2021-02-02 15:15:00,46.45,EOD,2021-02-04,4470,2021-02-02,4470,12.924375,0,4457.075625
,14750,PE,2021-02-03 10:10:00,98.25,2021-02-03 15:15:00,52.95,EOD,2021-02-04,3397.5,2021-02-03,3397.5,12.8142,32.87,3351.8158
,14750,PE,2021-02-04 09:30:00,57.1,2021-02-04 15:15:00,0.3,EOD,2021-02-04,4260,2021-02-04,4260,4.86465,32.87,4222.26535
,15000,PE,2021-02-05 09:30:00,193.35,2021-02-05 10:26:00,233.8,Max SL,2021-02-11,-3033.75,2021-02-05,-3033.75,36.2009625,32.87,-3102.8209625
,14900,PE,2021-02-05 10:30:00,168.25,2021-02-05 15:15:00,151,EOD,2021-02-11,1293.75,2021-02-05,1293.75,27.0564375,0,1266.6935625
,15100,PE,2021-02-08 09:35:00,150,2021-02-08 15:15:00,112.35,EOD,2021-02-11,2823.75,2021-02-08,2823.75,22.2341625,32.87,2768.6458375
,15200,CE,2021-02-09 11:00:00,97.75,2021-02-09 11:15:00,107.45,Signal Change,2021-02-11,-727.5,2021-02-09,-727.5,17.3907,32.87,-777.7607
,15200,PE,2021-02-09 11:15:00,94.55,2021-02-09 11:20:00,92.05,Signal Change,2021-02-11,187.5,2021-02-09,187.5,15.81435,0,171.68565
